varmatrix_1,varmatrix_2
Time_of_data,10-Jun-2015 14:32:19
Start_of_run,18-May-2015 20:00:00
End_of_run,20-May-2015 05:59:20
Risk factor,13.7901342975341
endHEHcyp,1250239580.54093
endTHtosh,17240971719.752
endpot,2.0852162016e+15
mkHEHcyp,5.78031427421244e-07
mkTHto3V,8.1323300297209e-06
seucyp,8067
seutosh,45993
cut,1500
