varmatrix_1,varmatrix_2
Time_of_data,02-Sep-2015 10:15:46
Start_of_run,28/05/2015 20:06:00
End_of_run,29/05/2015 13:17:50
doseend100,10.3800768060636
error_final100,0.115984955876631
doseend400,12.7246581982674
error_final400,0.105318711522983
endpot,1.1005553664e+15
mk100,9.43167161141347e-15
mk400,1.15620336665939e-14
cut,2500
